filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.945	0.667	0.964	0.886	0.267	0.432	0.371	4.0	3.0	1.0	4.0	527.498	10.0	1	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.75	0.998	0.8	0.149	0.544	0.507	5.0	2.0	1.0	4.0	552.656	18.0	1	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.5	0.989	0.4	0.144	1.441	-0.029	4.0	3.0	3.0	2.0	579.739	13.0	2	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.923	1.0	0.925	0.021	0.297	0.843	8.0	0.0	1.0	4.0	606.092	42.0	2	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.963	0.833	0.986	0.75	0.232	0.637	0.632	8.0	0.0	2.0	2.0	629.291	12.0	2	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.667	0.992	0.656	0.159	0.857	0.158	7.0	1.0	3.0	1.0	654.478	14.0	2	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.75	1.0	0.886	0.036	0.393	0.478	6.0	1.0	2.0	3.0	684.978	34.0	2	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.954	0.417	0.987	0.429	0.21	0.909	-0.12	2.0	5.0	2.0	3.0	709.678	13.0	2	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.954	0.75	0.965	0.943	0.26	0.38	0.478	6.0	1.0	2.0	3.0	733.83	11.0	2	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.75	1.0	0.829	0.087	0.554	0.478	6.0	1.0	2.0	3.0	759.067	23.0	2	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	1.0	0.008	0.242	0.845	6.0	1.0	0.0	5.0	785.074	66.0	2	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.917	1.0	1.0	0.122	0.299	0.845	6.0	1.0	0.0	5.0	816.334	19.0	2	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.914	0.048	0.331	0.837	7.0	0.0	1.0	4.0	844.856	29.0	3	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.972	0.692	0.986	0.675	0.225	0.811	0.415	5.0	3.0	1.0	4.0	869.814	10.0	3	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.667	1.0	0.875	0.103	0.437	0.25	6.0	2.0	2.0	2.0	896.951	20.0	3	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.938	0.034	0.287	0.816	8.0	0.0	1.0	3.0	926.432	31.0	3	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.75	1.0	0.829	0.111	0.599	0.507	5.0	2.0	1.0	4.0	952.595	18.0	3	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.833	1.0	1.0	0.003	0.258	0.683	7.0	0.0	2.0	3.0	986.208	86.0	3	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.899	0.667	0.953	0.743	0.318	0.634	0.314	5.0	2.0	2.0	3.0	1017.119	8.0	3	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.833	1.0	0.971	0.024	0.262	0.657	6.0	1.0	1.0	4.0	1045.654	34.0	3	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.75	1.0	0.743	0.071	0.72	0.507	5.0	2.0	1.0	4.0	1074.178	24.0	3	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.954	0.583	0.974	0.829	0.25	0.485	0.169	4.0	3.0	2.0	3.0	1102.04	10.0	3	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.945	0.917	0.978	0.971	0.249	0.354	0.845	6.0	1.0	0.0	5.0	1125.496	12.0	4	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.944	0.769	0.99	0.625	0.237	0.798	0.501	7.0	1.0	2.0	3.0	1152.467	13.0	4	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.667	0.978	0.844	0.211	0.468	0.25	6.0	2.0	2.0	2.0	1176.81	12.0	4	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.833	1.0	0.844	0.081	0.456	0.707	6.0	2.0	0.0	4.0	1204.701	23.0	4	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	1.0	1.0	1.0	0.0	0.083	1.0	7.0	0.0	0.0	5.0	1277.556	500.0	4	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.667	1.0	0.886	0.036	0.36	0.314	5.0	2.0	2.0	3.0	1308.162	36.0	4	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.667	0.998	0.8	0.146	0.565	0.293	6.0	1.0	3.0	2.0	1334.646	18.0	4	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.833	1.0	0.829	0.056	0.704	0.683	7.0	0.0	2.0	3.0	1366.226	28.0	4	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	1.0	0.0	0.13	0.837	7.0	0.0	1.0	4.0	1420.863	338.0	4	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.982	0.75	1.0	0.857	0.071	0.521	0.478	6.0	1.0	2.0	3.0	1450.633	23.0	4	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.75	1.0	0.886	0.05	0.495	0.507	5.0	2.0	1.0	4.0	1481.871	30.0	5	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.923	1.0	1.0	0.0	0.097	0.854	7.0	1.0	0.0	5.0	1553.855	500.0	5	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.75	1.0	0.719	0.061	0.565	0.408	7.0	1.0	2.0	2.0	1587.672	27.0	5	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.991	0.667	1.0	0.875	0.071	0.5	0.354	5.0	3.0	1.0	3.0	1620.634	24.0	5	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.943	0.0	0.252	0.845	6.0	1.0	0.0	5.0	1682.74	426.0	5	4
