filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.993	0.006	0.133	0.833	11.0	1.0	1.0	11.0	530.893	148.0	1	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.899	0.75	0.967	0.868	0.287	0.495	0.53	11.0	1.0	5.0	7.0	563.886	16.0	1	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.913	1.0	0.977	0.015	0.181	0.826	11.0	1.0	1.0	10.0	606.467	109.0	1	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.914	0.826	0.981	0.947	0.24	0.357	0.664	9.0	3.0	1.0	10.0	640.983	25.0	1	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.962	0.826	0.993	0.924	0.171	0.369	0.659	8.0	3.0	1.0	11.0	676.449	37.0	1	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.947	0.87	0.997	0.871	0.174	0.484	0.74	9.0	2.0	1.0	11.0	711.318	33.0	1	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.826	1.0	0.947	0.037	0.282	0.659	8.0	3.0	1.0	11.0	752.378	75.0	1	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.957	1.0	1.0	0.0	0.063	0.917	11.0	0.0	1.0	11.0	846.352	500.0	1	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.971	0.87	0.997	0.955	0.147	0.374	0.763	8.0	3.0	0.0	12.0	883.246	40.0	1	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.943	0.826	0.992	0.924	0.176	0.445	0.664	10.0	1.0	3.0	9.0	919.866	39.0	2	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.894	0.917	0.971	0.903	0.27	0.402	0.845	10.0	2.0	0.0	12.0	953.645	15.0	2	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.993	0.001	0.138	0.833	11.0	1.0	1.0	11.0	1023.766	293.0	2	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.947	0.739	0.991	0.886	0.214	0.489	0.489	8.0	4.0	2.0	9.0	1061.869	33.0	2	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.99	0.87	1.0	0.955	0.062	0.271	0.74	11.0	1.0	2.0	9.0	1102.51	61.0	2	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.957	0.826	0.993	0.856	0.17	0.448	0.664	10.0	1.0	3.0	9.0	1140.543	36.0	2	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.826	0.997	1.0	0.118	0.277	0.691	7.0	4.0	0.0	12.0	1179.163	51.0	2	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.971	0.826	0.995	0.909	0.141	0.397	0.664	10.0	1.0	3.0	9.0	1218.491	43.0	2	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.909	0.783	0.981	0.886	0.255	0.45	0.589	10.0	1.0	4.0	8.0	1254.315	23.0	2	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.909	0.87	0.972	0.932	0.265	0.314	0.742	10.0	1.0	2.0	10.0	1289.264	22.0	2	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.962	0.826	0.995	0.962	0.168	0.305	0.652	9.0	2.0	2.0	10.0	1325.798	39.0	3	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.899	0.792	0.971	0.882	0.267	0.435	0.585	10.0	2.0	3.0	9.0	1362.133	19.0	3	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.952	0.917	0.995	0.965	0.141	0.257	0.845	12.0	0.0	2.0	10.0	1402.526	46.0	3	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.913	0.999	0.932	0.106	0.309	0.826	11.0	1.0	1.0	10.0	1445.163	57.0	3	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.866	0.826	0.971	0.894	0.307	0.475	0.664	9.0	3.0	1.0	10.0	1481.942	21.0	3	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.957	1.0	1.0	0.0	0.065	0.917	11.0	0.0	1.0	11.0	1585.493	500.0	3	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.947	0.826	0.994	0.962	0.162	0.291	0.664	10.0	1.0	3.0	9.0	1625.82	44.0	3	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.967	0.783	0.997	0.886	0.134	0.479	0.565	8.0	3.0	2.0	10.0	1665.46	44.0	3	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.914	0.913	0.978	0.947	0.238	0.292	0.826	10.0	1.0	1.0	11.0	1703.683	25.0	3	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.783	0.997	0.856	0.133	0.458	0.565	8.0	3.0	2.0	10.0	1743.23	47.0	3	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.826	0.998	0.932	0.124	0.348	0.659	8.0	3.0	1.0	11.0	1786.167	56.0	4	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.966	0.833	0.995	0.937	0.136	0.313	0.676	11.0	1.0	3.0	9.0	1829.512	46.0	4	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.889	0.833	0.968	0.896	0.288	0.434	0.676	11.0	1.0	3.0	9.0	1866.661	15.0	4	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.99	0.87	1.0	0.97	0.072	0.206	0.742	10.0	2.0	1.0	10.0	1909.331	63.0	4	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.957	1.0	0.985	0.0	0.149	0.917	11.0	1.0	0.0	11.0	2021.868	500.0	4	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.913	1.0	0.939	0.017	0.299	0.837	9.0	2.0	0.0	12.0	2073.937	113.0	4	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.957	1.0	0.977	0.0	0.184	0.917	11.0	0.0	1.0	11.0	2183.226	500.0	4	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.9	0.826	0.977	0.841	0.281	0.559	0.659	8.0	3.0	1.0	11.0	2220.987	23.0	4	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.957	1.0	0.977	0.024	0.19	0.917	11.0	0.0	1.0	11.0	2272.774	100.0	4	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.947	0.739	0.994	0.886	0.172	0.46	0.502	6.0	5.0	1.0	11.0	2311.479	37.0	4	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.904	0.739	0.98	0.886	0.24	0.439	0.516	10.0	1.0	5.0	7.0	2349.795	27.0	5	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.942	0.833	0.996	0.917	0.182	0.47	0.707	8.0	4.0	0.0	12.0	2390.466	34.0	5	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.933	0.792	0.987	0.938	0.203	0.36	0.602	11.0	1.0	4.0	8.0	2433.382	31.0	5	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.99	0.87	1.0	0.962	0.068	0.259	0.742	10.0	2.0	1.0	10.0	2481.364	65.0	5	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.957	1.0	0.985	0.003	0.113	0.916	12.0	0.0	1.0	10.0	2549.092	194.0	5	4
